字段1_文本,字段1_链接,字段2,时间,字段3,时间1
你还未输入任何签名,https://www.dongchedi.com/user/3262948117059752,"【购车经历】
年初的时候路过虹桥的电马城市店被电马的外表所折服，正好小区有车位就预订了，很快充电桩就来装好了。但是疫情原因一直到6月有了新的活动（送360扩展包）才决定重新下单加了8000换了限量版的掠心蓝配色。付了全款之后差不多2个星期车到了，然后各种手续差不多正好一个月提车了！b&o音箱效果真心不错，可能也是豪华版双层玻璃密闭性好。

【充电时间】一周多充一次电。充电也简单，远程WIFI控制，也可以预约充电，充到25%的电晚上11点开始冲，2点多充到80%就OK~半价充电费用13元左右~
【续航】
电池选的619长续航，平时上下班开一下30公里22℃自动空调，标准模式下耗电8%
【空间表现】
因为平时就自己开，然后周末偶尔出去玩，试了下后排放平后自己身高170刚刚好腿能伸直！全景天幕晚上躺着仰望夜空，美滋滋~
【智能化】
车机虽然说820a但是用下来感觉并没有十分卡顿，虽然ui相对简单但是够用，基本是点到就打开，当然语音助手稍微有点呆，不过也没有网上说的打不开空调那种，控制空调，车窗，音箱音量，说歌名听歌都OK。
【驾驶感受】
悬挂因为是运动风格所以比较硬，把胎压降到270以后好很多！刹车点头的话还是要多练练，提前减速然后松开再轻点，就几乎没有点头。总体来说还是非常满意的！
【最不满意】
最不满意的可能是内饰豪华度有所欠缺，氛围灯非常暗而且只有前门和脚下。后排空间作为2.9米轴距的车来说真的不大，也就2拳。另外就是全系没有座椅通风，有点遗憾。
【保养】
购车的时候有活动，送4年4次免费保养，所以暂时没有保养的顾虑。
第一次写这么多字，希望帅哥美女多多点赞！谢谢啦！",2022-08-01,上海,
用户8974921203618,https://www.dongchedi.com/user/1433362715643291,属实跟风买无误，不后悔但是也不会过度兴奋 因为工作需求，奔着电车买的。 试了小鹏，理想，和Mach-E 港真走车机交互一定是国内的新能源更胜一筹（工作性质因素未考虑特斯拉，没有可比性）毕竟小鹏的辅助泊车是真解放双手，但基于传统的信任因素还是更亲赖自己泊车。 外形是第一要义，看了一下大家的评价大都相似 内饰很多人说寡淡，就是说毕竟开车舒适第一，和高跟鞋跟运动鞋的区别一样，整体质感没有问题，不喜欢花里胡哨的其实还好，太阳晒了新车要透气，还是味大的。 配置并不是很懂说实话，但是品牌写出来都认识…出问题就找质保就完事了。 空间，最优还是理想，但是车型太大了，Mach-E更像是轿的升级suv的降级，够坐人，后排设计有点意思，腿会抬起来一点，长途不是很累。头顶大窗看星星没啥问题，家里人可惜不能开天窗。 续航害行，充满跑500km左右，平时用细语+L模式挺好的，市区内提速也没有很慢。作妖的时候偶尔开不羁配声浪皮一下没毛病。 智能化猜到很寡就是说，试过小鹏感觉更寡了，庆幸还有BO救命，不然这个是真的大打折扣。经常车机跑出来想跟我聊天，虽然我没叫它…还有就是导航的地图求求改改图型方向吧，同时用手机网易云还会一卡一卡的，只敢用qq音乐了。和传统油车这方面使用习惯一致，没有什么新体验，大屏开车时候也不咋用看。钥匙的智能害行，懒人还是比较喜欢的？就是侧面打一个小马跑步光真的有点搞笑（可爱？） 驾乘感就是有点轻，加上动能回收好一些了，不是单踏板那种点头，但是明显没有那么飘。刹车害行，最后会有点头，不过传统油车开的时候之前也有这种，还是看下脚轻重。 看你想要什么吧，如果家庭用，之前对比了p5和理想，理想主要是费油，一个月3000km吃不消。p5空间满分，车型憨憨的。 还有一个就是售后，整体福特售后方面点比较全，时间比较久，花钱买8年安心咱就是说。,2022-06-06,南京,
郝仁视车,https://www.dongchedi.com/user/6378338405,"【最满意】外观造型足够个性化，操控依旧穿成了福特野马的优秀基因
【最不满意】车机系统不够智能化，虽然增加了car play，但是还足以抗衡自主品牌，中控屏角度太大。

【驾驶感受】操控非常出色，电门给人的加速感受不突兀，有燃油车的感受，车身前后配重均衡，操控感受不错。悬架整体略微偏硬但是能接受，小颠簸能过滤一些，但不彻底。大颠簸比如减速带这种，车尾弹跳感还是比较明显的，对后排乘客的舒适感不太友好，不过好在高速通过大颠簸时没有多余的二次弹跳。
【乘坐体验】中规中矩，座椅舒适度，空间都属于中游水平，悬架略硬，还能接受。",2023-12-20,,
MuscleTechnology,https://www.dongchedi.com/user/4108254190516723,"之前是和女朋友在广州百信广场那里逛街看到的福特电马。当时觉得很新颖，就问这里的销售能不能试驾，试驾和服务感受都很不错，现在已经提车一个多月了，跑了也有500公里，评价一下这个车吧。
【外观】:当时就是被他的外观停留住了脚步，整体电马对比油马做了一些改动，但是肌肉线条和屁股的三柱尾灯依然保留，外观这里我个人觉得同价位无敌帅。
【驾驶感受】我印象最深刻的就是这个车的操控，在同价位里我也对比了很多车特斯拉，小鹏，极氪等，唯一和电马操控有的一比的就是极氪，但是极氪太花里胡哨了看久了会有廉价感，这台在120公里行驶的时候，底盘也是稳稳的压在地上的，这是我在同价位电车很少有感受到的。他的刹车也是非常灵敏的，我开习惯德系车这一点我感觉很舒服轻轻一点就刹住了。他的转向也没有虚位几乎是指哪打哪，路感也非常清晰。最让我惊喜的是！！！这台车的动能回收是可开关的，这对于开惯油车的我来说是很惊喜的。所以操控我也给到满分。
【续航】在续航这一块的话，个人认为还是OK的。我的是619续航版本的，基本跑个530公里没什么问题，配合L档动能回收模式能跑的更多一点。
【充电时间】我平常开车基本都是20%-30%的时候就冲了，在家里的电桩下班回去插上第二天就百分百了也没注意多久充满估计也就6个小时左右吧，基本就一周充一次有时候一周半跟开油车加油的频率差不多。快充的话就跑长途中间冲过一次20%到80%也就冲了30分钟，玩了会手机就好了还是蛮快的。
【空间表现】后备箱很大有经典美式车的后备箱空间，值得一提的是前背箱，看过那么多电车，唯一空间有的一比的是特斯拉modle y的前背箱，电马还做了一个漏水孔打理起来比较方便，我每次都把运动完的脏衣服放前面，很方便也没有异味。后排空间的话对比他的轴距确实有点小，后来听他们销售说是为了提升操控所以牺牲了后排空间，但其实对我来说也够用，你们也可以去自己感受一下。这个因人而异。
【最不满意】我个人觉得我最不适应的就是他的车头有点长，刚开来会有点不适应，但是他的雷达很灵敏，好几次差点蹭的时候给我刹停了。
【购车经历】从第一在他们百信门店试车到提车，他们的服务都很好这个值得一说，不知道是不是所有电马门店都是这样统一的服务，提车过程中也有好多问题他们的销售buddy也是非常有耐心的给我解答，交车的时候交付经理的态度也非常好，这一点很满意。

你们提车的经历如何？友友们可以在评论区交流下",2022-08-17,广州,
用户2804971685673,https://www.dongchedi.com/user/102623534505,无意中在马路上等车的时候看到了一辆黑色的小马，瞬间就心动了。马上回去搜索这是个啥车？外表真的是一眼爱。上网搜了一下内饰虽然有点不好看还是决定去看看实车。因为之前开过mustang觉得实在是不太好开，害怕电车还是那样在懂车帝上搜了搜车主评论感觉应该开起来不错。于是终于决定去看看实车加试驾！本人对国产新能源其实并不感冒甚至对电车都有点排斥。但是没办法身边好多人开电车尤其是某拉拉车主比较多。虽然这车销量有点可怜，好在我们这有直营门店离得也不远就去了。展车又是个黑色的小马，冥冥之中自有天意就锁定这个颜色了。之前一直害怕电车不好开试驾后觉得根本和油车没差别，再对比一下某拉拉的那个单踏板果断电马完胜。就是这个内饰确实是一言难尽，希望电马的内饰以后能花点心思吧。现在买了我也只能认了，对福特的安全系数还是比较认可的感觉小马的车门比较重再加上视觉上的肌肉线条，感觉就是很有安全感。买车之后才发现好多黑色小马车主，而且大家改的外观都好好看。至于续航嘛，我每天开的不多。一天最多20公里我也没怎么计算过续航啥的一周也就充一次电吧。续航可以参考跑的比较多的车主朋友们哈,2022-11-19,青岛,
考拉爸爸Ody,https://www.dongchedi.com/user/3351765853676487,外观不用说，吊打个特斯拉算没问题吧？不满意的建议好好看看车头的肌肉线条，其他电车目前都做不到电马这种力量感。 性能上也，GT版本也没的说。3.65的零百加速冠绝电动SUV，路感清晰，转向精确。除了后排乘客可能要小小的抱怨下有点颠，驾驶员这块的感受那绝对是一个爽字。电马还兼顾到油车驾驶感受，细语模式简直跟油车没啥区别，不得不佩服老牌厂商的调教能力。 促使我购买电马的另一主要原因是安全，欧洲和美国都拿到安全评测最高等级，国内各种媒体安全测试上电马也比一众新势力强很多。虽然福特作为老牌厂商，在智能化和娱乐性方面不是很强，但这些很多也是为了安全的妥协。买车又不是买个游戏机，安全性还是非常重要的，这一点给电马个大大的好评。 车机是个槽点，真是一言难尽，估计可以和极氪001争个高下了。别的不谈，希望福特能重视用户意见，尽早先把国内的carplay给恢复了，否则真是败口碑砸招牌。 购买体验和售后服务上比以往福特的表现强太多了，但是福特尾大不掉，跟经销商还是分不开，所以体验上还是不如新势力的，需要加强。,2022-03-22,武汉,
Moo845,https://www.dongchedi.com/user/660186870583021,我是11月底入手的，赶着降价，现在已经开了2100公里 续航： 主要是在广东珠三角地区跑，日常用车4成高速，6成低速，现在广东冬天，10-18度，实测续航500公里左右，平常都是入胜模式，偶尔高速上玩玩不羁，开起来很线性，跟油车没什么区别，而且，个人觉得很省电 优点： 行驶质感是真不错，底盘稳，转向又灵活，加速超车说来就来，过坑洼和减速带可以明显感受到底盘的舒适性； 外观不多说，买电马估计大部分都是看中它的颜值； 空间大，后备箱差不多能放三个大行李箱，后排座椅还可以放倒； 内饰用料很足，虽然看上去不咋地，但是皮质的座椅是真的舒服，支撑性也好，整车的质感很棒，大部分都是皮质，塑料很少；隔音效果给力，音响是必夸的。 不足： 车机属实比不上国产，流畅度不错但是功能太简单，有支持carplay 的硬件却没有装这个软件，想不通； 刹车存在一定的点头，新车仍然是有异味的。,2022-12-31,广州,
公路闪电桑塔纳,https://www.dongchedi.com/user/1530998780071715,【续航】 给力的，人在广州，日常12-15的能耗，有一说一能耗和习惯有很大的关系，最低的时候我开过10的能耗。续航400-420之间，打了个八折很满足了，表显续航和实际续航很正，这个可以打包票 【空间表现】 很OK，而且座椅很舒服，前后空间很大，驾驶室视野很好 【动力表现】 丐中丐，但是这电车的动力还是那个啊，猛踩油门还是有推背感的，超车无压力 【最满意】 操控果然是福特的拿手好戏，转向非常柔顺，方向精准，三种模式来回切换，能把驾驶乐趣放在卖点之一的也就它了。车机智能我很喜欢，不懂的都问它 【最不满意】 能不能搞个刹车踏板调节？太tm硬了，还有这个动能回收强烈建议给看开关键，受不了开不羁的时候松开踏板就像是急刹车 总体表现很满意，车无完车，上了贼船这时候也下不去了,2022-01-29,广州,
热心网友欧生,https://www.dongchedi.com/user/2502903863711870,"电马用车笔记之六个月用车报告
       提车半年，6个月里程4280公里。刚开始半个月，三种模式切换体验，接下来半个月用的“细语”，之后主要是“入胜”，近期使用“入胜+L”。期间偶尔单踏，但确实不大习惯，幸好可以选择关闭。之前在广州W酒店附近看的车，在此很感谢销售Buudy的讲解和介绍。
      内饰和车机并没有网上说的这么拉跨，林肯的生产线做工一流，线条紧致，座椅更软很有包裹感，特别是后排空间看起来很小，但坐垫是上斜的，乘坐空间还是比较满足。唯一槽点就是车机设计太直了，但习惯后看起来也不是很奇怪，功能和市面上的新能源汽车都差不多，不算亮点。
      驾驶体验感一流，底盘比较扎实，转弯半径也小，电门反应比较灵敏，开起来可以做到人车合一的境界。
      近一次平均电耗13千瓦/百公里，一箱电行驶了415.6公里，现余21%电量可跑109公里。都市通勤为主，夏季全程空调+车机音乐。电马同学用到现在，省心省力，骄傲啊。",2022-07-10,广州,
shaluyn,https://www.dongchedi.com/user/1235468760127563,"用车也一年多了，来说说整体一年多的感受吧外观：那是妥妥的满分，外观颜值拉满，其实就是冲着这美式大肌肉，经典三柱灯，野马标去的。
购车经历：才上市时就关注了，等开始交付时，还观望一下，等了几个月才去下定，下定等了近一个月才交付，当时价格还是算蛮高，直接没和其他车比，就在网上看看，就找销售下定的，湖北也就武汉有店，下面的县城还要坐300公里动车去，直接盲订了。不去看现车了。提车也是让交付经理帮忙把车充满电，简单搞了个仪式，办了临牌就开回家了。总共到店半小时完成。

【续航】
整天续航还可以，适合春秋温度适宜时，充满450左右。冬夏天需要开空调的话，也就300左右，日常县城内通勤没啥问题。

【充电时间】
老用户送了充电桩，并且APP上积分可以换电卡，算是能免费在外面充电，还是不错的，希望换到长福后能保留这个功能。

【智能化】
智能化是电马吐槽最多的，最近才去武汉换了8155，希望能有所改善。

【空间表现】
空间设计还是蛮中意电马的前备箱，专门设计了排水孔，方便清洗排水，适合放冰块。

【驾驶感受】
电马经过专业赛车团队调校，开起来还是比较舒服，值得一提的是，过减速带时的速度控制要四五十码才不会那么颠，速度低反而颠些。

【最不满意】
还是营销问题，变化太快，市场太卷了，权益也是，特别是BC，试用期过了就没了，升级了8155后没了",2023-09-25,武汉,
移动嘚蓝,https://www.dongchedi.com/user/111286680703,【空间表现】 空间不如我以前的大七座SUV，但是好歹是个跨界suv，一家五口足够了，老爸1.83，坐后排也不觉得矮，而且还比以前车子更长更宽，空间足够。 【续航】 早晚上班，绕城高速60公里。早上气温8-10度，冷车起步，7折，晚上出发公司车库温度15度左右，9.5折，很满意了。 【充电时间】 快充1个小时不到，慢充4个小时，而且有家充预约充电，很方便。 【智能化】 开车要那么智能干嘛，命还是握在自己手里才放心。辅助驾驶的保持车道和自动跟车很好了，语音功能也还不错，之前油车啥都没有，现在这样很满足了。 【最不满意】 车机还是慢，而且百度的语音识别真不如家里的小米。还好ota还在继续，明年还有免费升级8155，期待中。 【购车经历】 10月10日试驾，11日大定，26日提车，快速、满意，服务很好，我很满意。 【驾驶感受】 就是试驾感觉太好了，所以才迅速下定提车，试驾过汉、Y、p7，就这个感觉最好，最像油车，过弯有种很安全的感觉，车稳。 【亮点配置】 好多人都说跑马灯很LOW，我倒是很喜欢，算是圆了我的野马情节了。而且还有fapa芯片，有自动泊车功能。 【提车价格】 车子价格优惠好多，还送了脚垫+全车膜，还有大把积分，感觉赚了好多。,2022-10-30,南京,
